cards,deck_count
"['Heliod, Sun-Crowned', 'Walking Ballista']",35688
"['Felidar Guardian', 'Restoration Angel']",31952
"['Luminous Broodmoth', ""Ashnod's Altar""]",18739
"['Preston, the Vanisher', 'Felidar Guardian', 'Ephemerate']",14112
"['Luminous Broodmoth', 'Phyrexian Altar']",11741
"['Ondu Spiritdancer', 'Secret Arcade // Dusty Parlor']",11319
"[""Abdel Adrian, Gorion's Ward"", 'Restoration Angel', 'Ephemerate']",11130
"[""Abdel Adrian, Gorion's Ward"", 'Felidar Guardian', 'Ephemerate']",10779
"['Karmic Guide', 'Reveillark', ""Ashnod's Altar""]",10462
"['Preston, the Vanisher', 'Felidar Guardian', 'Cloudshift']",10452
"[""Abdel Adrian, Gorion's Ward"", 'Restoration Angel', 'Cloudshift']",9916
"[""Abdel Adrian, Gorion's Ward"", 'Felidar Guardian', 'Cloudshift']",9231
"['Secret Arcade // Dusty Parlor', 'Ghostly Dancers']",8512
"['Karmic Guide', 'Reveillark', 'Altar of Dementia']",8462
"['Approach of the Second Sun', 'Reprieve']",7394
"['Luminous Broodmoth', 'Altar of Dementia']",6679
"['Solemnity', 'Phyrexian Unlife']",6673
"['Archangel of Thune', 'Walking Ballista']",6592
"[""Archon of Sun's Grace"", 'Secret Arcade // Dusty Parlor']",6441
"[""Lion's Eye Diamond"", 'Auriok Salvagers']",6267
"['Karmic Guide', 'Reveillark', 'Phyrexian Altar']",6257
"['Pariah', 'Stuffy Doll']",5861
"['Aethergeode Miner', 'Aetherstorm Roc', 'Decoction Module']",5231
"['Automated Assembly Line', ""Gonti's Aether Heart"", 'Panharmonicon']",5124
"['Cleric Class', 'Walking Ballista']",5026
"['Heliod, Sun-Crowned', 'Triskelion']",4976
"['Myr Galvanizer', 'Clock of Omens', 'Gold Myr']",4898
"['Preston, the Vanisher', 'Felidar Guardian', 'Flicker of Fate']",4877
"['Automated Assembly Line', ""Gonti's Aether Heart"", 'Aetherstorm Roc']",4852
"[""Abdel Adrian, Gorion's Ward"", 'Restoration Angel', 'Fiend Hunter']",4765
"['Automated Assembly Line', ""Gonti's Aether Heart"", 'Guide of Souls']",4737
"[""Abdel Adrian, Gorion's Ward"", 'Eldrazi Displacer']",4542
"[""Abdel Adrian, Gorion's Ward"", 'Felidar Guardian', 'Fiend Hunter']",4466
"['Gilraen, Dúnedain Protector', 'Village Bell-Ringer']",4248
"['Drannith Magistrate', 'Knowledge Pool']",3984
"[""Abdel Adrian, Gorion's Ward"", 'Restoration Angel', 'Glorious Protector']",3928
"['Glorious Protector', 'Felidar Guardian', 'Cloudshift']",3926
"['Solemnity', 'Nine Lives']",3670
"['Preston, the Vanisher', 'Fiend Hunter', 'Charming Prince']",3605
"['Aethergeode Miner', 'Guide of Souls', 'Decoction Module']",3581
"[""Abdel Adrian, Gorion's Ward"", 'Felidar Guardian', 'Glorious Protector']",3354
"['Aethergeode Miner', 'Guide of Souls', 'Aetherstorm Roc']",3341
"['Restoration Angel', 'Icewind Stalwart']",3303
"['Approach of the Second Sun', 'Scroll Rack']",3205
"['Avacyn, Angel of Hope', 'Worldslayer']",3075
"['Preston, the Vanisher', 'Fiend Hunter', 'Flickerwisp']",3011
"['Avacyn, Angel of Hope', ""Nevinyrral's Disk""]",2965
"['Felidar Guardian', 'Icewind Stalwart']",2964
"['Preston, the Vanisher', 'Felidar Guardian', 'Another Round']",2961
"['Fiend Hunter', 'Karmic Guide', ""Ashnod's Altar""]",2906
"['Aethergeode Miner', 'Decoction Module', 'Panharmonicon']",2809
"['Stuffy Doll', 'Guilty Conscience']",2790
"['Guilty Conscience', 'Phyrexian Vindicator']",2636
"['Helm of Obedience', 'Rest in Peace']",2610
"['Karmic Guide', 'Fiend Hunter', 'Altar of Dementia']",2603
"['Aethergeode Miner', 'Aetherstorm Roc', 'Panharmonicon']",2549
"['Sun Titan', 'Fiend Hunter', ""Ashnod's Altar""]",2476
"['Archon of Emeria', 'Knowledge Pool']",2343
"['Karmic Guide', 'Reveillark', 'Blasting Station']",2341
"['Together Forever', ""Ashnod's Altar""]",2321
"['Uba Mask', 'Drannith Magistrate']",2293
"['Preston, the Vanisher', ""Abdel Adrian, Gorion's Ward"", 'Fiend Hunter', 'Ephemerate']",2218
"['Felidar Guardian', 'Karmic Guide', 'Altar of Dementia']",2202
"['Preston, the Vanisher', 'Felidar Guardian', 'Scrollshift']",2120
"['Sun Titan', 'Fiend Hunter', 'Altar of Dementia']",2085
"['Knowledge Pool', 'Rule of Law']",2067
"[""Abdel Adrian, Gorion's Ward"", 'Fiend Hunter', 'Oblivion Ring']",1950
"['Touch the Spirit Realm', 'Starfield of Nyx']",1948
"['Preston, the Vanisher', ""Abdel Adrian, Gorion's Ward"", 'Fiend Hunter', 'Cloudshift']",1929
"['Wispweaver Angel', 'Felidar Guardian']",1870
"['Aethergeode Miner', 'Guide of Souls', 'Panharmonicon']",1836
"['Deafening Silence', 'Knowledge Pool']",1788
"['Karmic Guide', 'Reveillark', 'Fanatical Devotion']",1764
"[""Teshar, Ancestor's Apostle"", 'Myr Retriever', 'Blasting Station']",1758
"[""Abdel Adrian, Gorion's Ward"", 'Restoration Angel', 'Werefox Bodyguard']",1700
"['Glacial Chasm', 'Solemnity']",1670
"['Preston, the Vanisher', 'Felidar Guardian', 'Acrobatic Maneuver']",1656
"['Lumbering Battlement', 'Restoration Angel', 'Ephemerate']",1655
"['Omen Machine', 'Drannith Magistrate']",1647
"[""Abdel Adrian, Gorion's Ward"", 'Glorious Protector', 'Touch the Spirit Realm']",1628
"[""Abdel Adrian, Gorion's Ward"", 'Touch the Spirit Realm', 'Oblivion Ring']",1607
"['Fiend Hunter', 'Karmic Guide', 'Phyrexian Altar']",1570
"['Myr Battlesphere', 'Eldrazi Displacer', ""Ashnod's Altar""]",1568
"[""Abdel Adrian, Gorion's Ward"", 'Felidar Guardian', 'Werefox Bodyguard']",1557
"['Lumbering Battlement', 'Felidar Guardian', 'Ephemerate']",1555
"['Preston, the Vanisher', 'Felidar Guardian', ""Justiciar's Portal""]",1554
"['Gandalf the White', 'Scrap Trawler', 'Myr Retriever', 'Krark-Clan Ironworks']",1537
"['Knowledge Pool', 'Eidolon of Rhetoric']",1535
"['Delaying Shield', 'Solemnity']",1534
"['Solemnity', ""Ashnod's Altar""]",1509
"[""Abdel Adrian, Gorion's Ward"", 'Restoration Angel', 'Pegasus Guardian']",1468
"['Luminous Broodmoth', 'Blasting Station']",1463
"['Lumbering Battlement', 'Restoration Angel', 'Cloudshift']",1430
"[""Abdel Adrian, Gorion's Ward"", 'Journey to Nowhere', 'Oblivion Ring']",1420
"['Sun Titan', 'Gift of Immortality', ""Ashnod's Altar""]",1405
"[""Abdel Adrian, Gorion's Ward"", 'Touch the Spirit Realm', 'Leonin Relic-Warder']",1377
"['Solemnity', 'Phyrexian Altar']",1358
