name,saltiness,deck_count
Stasis,3.12,12290
Winter Orb,3.11,37337
"Nadu, Winged Wisdom",3.04,8456
"Vorinclex, Voice of Hunger",2.88,64908
Armageddon,2.83,26751
Thassa's Oracle,2.82,198417
Static Orb,2.8,19806
"Tergrid, God of Fright",2.72,56487
The One Ring,2.7,468166
Apocalypse,2.67,1968
"Jin-Gitaxias, Core Augur",2.65,67800
The Tabernacle at Pendrell Vale,2.64,8392
Rhystic Study,2.61,755057
Dockside Extortionist,2.61,229484
Expropriate,2.59,44259
Drannith Magistrate,2.58,156853
Devastation,2.58,2243
Grand Arbiter Augustin IV,2.57,45999
Jokulhaups,2.57,8225
Ravages of War,2.57,6404
Obliterate,2.56,10192
"Hokori, Dust Drinker",2.51,4707
Decree of Annihilation,2.43,7211
Sunder,2.4,5539
Cyclonic Rift,2.4,748828
Fierce Guardianship,2.36,516201
Nether Void,2.36,2681
Humility,2.34,6520
Rising Waters,2.34,2515
Smothering Tithe,2.34,633531
Opposition Agent,2.33,192088
Worldfire,2.32,10194
Mindslaver,2.29,18428
"Sheoldred, the Apocalypse",2.29,152739
Orcish Bowmasters,2.28,257163
"Emrakul, the Promised End",2.24,53328
Jeweled Lotus,2.23,231631
Tectonic Break,2.22,3023
Blood Moon,2.2,83351
Impending Disaster,2.2,6342
Back to Basics,2.2,24045
Farewell,2.2,338407
Smokestack,2.19,10857
"Toxrill, the Corrosive",2.19,40826
Gaea's Cradle,2.17,155844
Mana Crypt,2.16,334960
Winter Moon,2.16,27485
Blightsteel Colossus,2.15,84816
Time Stretch,2.15,38361
Void Winnower,2.12,70681
Mana Breach,2.11,8754
"Narset, Parter of Veils",2.11,129074
Wake of Destruction,2.1,2511
Thieves' Auction,2.09,7939
"Jin-Gitaxias, Progress Tyrant",2.08,72011
"Urza, Lord High Artificer",2.07,90417
Edgar Markov,2.05,455
Sen Triplets,2.05,3850
Epicenter,2.03,3010
Global Ruin,2.03,1140
Teferi's Protection,2.02,508758
Catastrophe,2.01,6463
"Narset, Enlightened Master",2.0,8885
Warp World,2.0,12428
Scrambleverse,1.99,7979
Force of Will,1.99,308004
Ad Nauseam,1.98,79790
"Oko, Thief of Crowns",1.97,66962
Divine Intervention,1.97,1764
Mana Drain,1.97,423930
Flashfires,1.94,843
Boil,1.94,3035
"Elesh Norn, Mother of Machines",1.93,104528
"Yuriko, the Tiger's Shadow",1.93,16799
Boiling Seas,1.92,880
Force of Negation,1.92,246798
"Atraxa, Praetors' Voice",1.92,15917
"Teferi, Time Raveler",1.91,84623
"Ulamog, the Defiler",1.91,43418
"Vorinclex, Monstrous Raider",1.91,90666
Time Warp,1.91,58182
Time Sieve,1.89,40006
Thoughts of Ruin,1.89,2535
"Elesh Norn, Grand Cenobite",1.89,134844
Demonic Consultation,1.88,110067
"Koma, Cosmos Serpent",1.88,68753
Ruination,1.87,12337
Omniscience,1.87,84120
Temporal Manipulation,1.86,31387
Nexus of Fate,1.86,44677
"Ulamog, the Ceaseless Hunger",1.86,81150
Craterhoof Behemoth,1.85,166732
Dictate of Erebos,1.85,100632
Aura Shards,1.84,104639
Possessed Portal,1.84,2508
Overwhelming Splendor,1.84,11252
Mana Vortex,1.84,1463
"Kinnan, Bonder Prodigy",1.84,54336
"Karn, the Great Creator",1.83,63699
"Korvold, Fae-Cursed King",1.82,18426
Notion Thief,1.82,95838
"Jodah, the Unifier",1.8,16138
Curse of Unbinding,1.8,15653
Grave Pact,1.8,134040
Tainted Aether,1.79,5205
"Miirym, Sentinel Wyrm",1.79,44478
Rule of Law,1.79,36098
Wildfire,1.79,5871
Glacial Chasm,1.79,44118
Cataclysm,1.78,5763
Bend or Break,1.78,1581
Magus of the Moon,1.77,39323
Burning Sands,1.76,2146
Gilded Drake,1.76,54656
Sire of Insanity,1.76,12394
Worldpurge,1.76,835
The First Sliver,1.76,12400
Keldon Firebombers,1.76,3156
Destructive Force,1.75,2182
Acid Rain,1.75,763
Torment of Hailfire,1.75,133657
Deflecting Swat,1.74,461003
"Emrakul, the World Anew",1.74,31034
Smoke,1.74,13350
Hullbreaker Horror,1.74,209550
Embargo,1.73,1328
"Ulamog, the Infinite Gyre",1.73,85303
Torpor Orb,1.72,34752
Timetwister,1.72,35676
Spinny Ride,1.71,5
Collector Ouphe,1.71,60315
Price of Glory,1.7,16897
Fall of the Thran,1.68,6044
Choke,1.68,2388
Worst Fears,1.68,9418
The Ur-Dragon,1.67,6838
Tainted Pact,1.67,116791
Trinisphere,1.67,25700
Esper Sentinel,1.66,523185
"Atraxa, Grand Unifier",1.66,20675
Deafening Silence,1.66,61757
"Kozilek, Butcher of Truth",1.65,96413
It That Betrays,1.65,76002
Mana Vault,1.65,357627
Contamination,1.64,11672
Moat,1.64,3915
Gaddock Teeg,1.63,8998
Mox Diamond,1.63,251226
Dream Tides,1.63,2205
Land Equilibrium,1.63,968
Consecrated Sphinx,1.63,137401
Draconian Gate-Bot,1.62,3231
"Avacyn, Angel of Hope",1.62,102155
Underworld Breach,1.62,166077
"Maha, Its Feathers Night",1.62,23962
Portal to Phyrexia,1.61,90418
Null Rod,1.61,16179
Agent of Treachery,1.61,52082
Capture of Jingzhou,1.61,20190
Tsunami,1.61,1392
Triumph of the Hordes,1.61,85307
Grip of Chaos,1.6,6355
Mana Vapors,1.6,900
Oppression,1.6,29946
In the Eye of Chaos,1.6,861
Confusion in the Ranks,1.6,9942
Roaming Throne,1.6,340594
Planar Chaos,1.6,13380
Stony Silence,1.59,23475
"Etali, Primal Conqueror",1.59,121342
"Linvala, Keeper of Silence",1.59,49186
"Chulane, Teller of Tales",1.59,33319
Arcane Laboratory,1.59,8450
Temporal Mastery,1.59,40774
Archon of Emeria,1.58,59093
"Ragavan, Nimble Pilferer",1.58,212357
Mist of Stagnation,1.58,524
"Winota, Joiner of Forces",1.58,10491
Lethal Vapors,1.58,4506
Lion's Eye Diamond,1.58,100206
Deadly Rollick,1.58,338527
Death Cloud,1.57,9071
Dauthi Voidwalker,1.57,217656
Desolation,1.57,4300
Razia's Purification,1.56,1183
"Najeela, the Blade-Blossom",1.56,8982
Cursed Totem,1.56,48885
Mystic Remora,1.56,490863
Inverter of Truth,1.56,4932
Exquisite Blood,1.55,152873
Bolas's Citadel,1.55,250159
Overburden,1.55,5957
Demonic Tutor,1.55,622117
Necropotence,1.55,156438
Sliver Hivelord,1.55,25990
Soulscour,1.55,1207
Aetherflux Reservoir,1.54,201392
Food Chain,1.54,44526
Timesifter,1.54,3933
Old Gnawbone,1.53,115304
Meekstone,1.53,33928
Mana Web,1.53,6273
Chains of Mephistopheles,1.52,6301
Mana Maze,1.52,2154
"Kozilek, the Great Distortion",1.52,66440
Seedborn Muse,1.51,222326
Isochron Scepter,1.51,129209
Orb of Dreams,1.51,3034
Storage Matrix,1.51,4766
Ward of Bones,1.5,5195
Vampiric Tutor,1.5,504609
Eidolon of Rhetoric,1.5,39385
Charisma,1.5,2427
Dovescape,1.5,4760
Scute Swarm,1.48,262994
Thalia and The Gitrog Monster,1.48,23800
Possibility Storm,1.48,22175
"Derevi, Empyrial Tactician",1.48,22280
Silence,1.47,167216
Territorial Dispute,1.47,142
Storm Cauldron,1.47,7404
Doubling Season,1.46,261128
"Voja, Jaws of the Conclave",1.46,2674
Sphere of Resistance,1.46,12423
The Beamtown Bullies,1.46,1137
Pox,1.45,7561
Pendrell Mists,1.45,2259
Spirit of the Labyrinth,1.45,22766
Serra Ascendant,1.45,98523
Sliver Overlord,1.44,11846
Demonic Hordes,1.44,480
Angus Mackenzie,1.44,518
Manabarbs,1.44,52642
Pact of Negation,1.44,202747
Ancient Copper Dragon,1.44,119548
Yawgmoth's Will,1.44,39168
Damping Matrix,1.44,3030
Leveler,1.44,13681
Jeska's Will,1.43,471906
Painful Quandary,1.43,69046
Nix,1.43,324
Presence of the Master,1.43,299
Grand Abolisher,1.43,243683
Rise of the Eldrazi,1.43,48691
"Zhulodok, Void Gorger",1.42,22039
Tectonic Instability,1.42,4431
Volcanic Awakening,1.42,1281
God-Pharaoh's Statue,1.42,42442
Uphill Battle,1.42,1161
